Location,Date,Pork Skins Large,PS Total FG LBS,PS Seasoning Used,PS Actual FG LBS,PS Fried Lbs,PS Waste Lbs,PS Overweight reported,PS % Waste,PS Yield,% Bellies Used,ST Fried Lbs,ST Finished Goods Lbs,Mix Fix lbs Produced,Cheese Curls lbs Used,% Cheese Product,ST Waste Lbs,ST % Waste,ST Yield,CR Fried Lbs,CR Finished Goods Lbs,CR Waste Lbs,CR % Waste,CR Yield,TR Fried Lbs,TR Finished Goods Lbs,TR Waste Lbs,TR % Waste,TR Yield,BL Fried Lbs,BL Finished Goods Lbs,BL Waste Lbs,BL % Waste,BL Yield,RTE CR Fried Lbs,RTE CR Finished Goods Lbs,RTE CR Waste Lbs,RTE CR % Waste,RTE CR Yield,CR TT Fried Lbs,CR TT Finished Goods Lbs,Cheese Curls lbs Used1,CR TT Waste Lbs,CR TT % Waste,CR TT Yield,TT Fried Lbs Total,TT Finished Goods Lbs Total,Finished Goods CASES Total,TT Bags Produced,Daily Changeovers,MH Trainings,MH Direct for Clips/Displays,MH Direct for Bulk,H Prod Hrs Used For Maint,MH Direct Labor,MH Indirect Labor,Productivity,PRd Fried Direct Labor lbs/hr,Prd Fried Indirect Labor lbs/hr,Prd FG Direct Labor lbs/hr,Prd FG Indirect Labor lbs/hr,Prd Bags/hr Direct Labor,Prd Bags/hr Indirect Labor,WeekC,Incidents (blank or # of recordable incidents that day),Days safe (No need to type anything),IFR (No need to type anything),"Training compliance (fill #actual / #plan %, monthly)",Comments Safety,Comments on intiatives,NR's (weekly),Complaints (weekly),"Holds (weekly, number)",Comments on Quality,OTIF,Cases cut,Outages,Comments on Service,Comments on Lbs & Yields,Comments on productivity,Comments on pellets Lbs & Yields
CAL,02-Apr-18,,0,,0,,,,#DIV/0!,#DIV/0!,,4480,4570,,,,18,0.39%,102.01%,4480,4570,1390,0.39%,102.01%,,,,,,,,,,,,,,,,4480,4570,0,18,0.39%,102.01%,4480,4570,1390,32344,2,,,,,57.25,43.25,,78.25,103.583815028902,79.83,105.664739884393,564.96,747.838150289017,01-Apr-18,,247,,,,,,,,,,,,,,,
CAL,01-Apr-18,,0,,0,,,,#DIV/0!,#DIV/0!,,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,,,,,,,16.25,,,0.00,,0.00,,0.00,,01-Apr-18,,246,,,No incidents last week.,,,,,"One comment is after the inspector released the machine, the USDA supervisor ask to sawb the packaging machine for Listeria. The swabs was performed on April 2 in 14 areas, all results came negative.",,,,"No issues on any delivery, everthing was on time.","We fried low amount of skins with an acceptable yield. Main of our curl production volume were small size bags 1.75oz the most. On Tuesday we were down, we schedule a cleaning in the smog hog.","We had a low productivity number and still high OT, we still had employees working on the cleaning of the packaging machine, less hours than last week.",
CAL,31-Mar-18,,0,,0,,,,#DIV/0!,#DIV/0!,,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,,,,,,,25.25,21.5,% OT,0.00,0,0.00,0,0.00,0,25-Mar-18,,245,,,,,,,,,,,,,,,
CAL,30-Mar-18,,0,,0,,,,#DIV/0!,#DIV/0!,,,,,,,,#DIV/0!,#DIV/0!,10637,8980,898,1.30%,84.42%,,,,,,,,,,,,,,,,10637,8980,0,117,1.30%,84.42%,10637,8980,898,898,1,,,,,51.25,49.25,,207.55,215.979695431472,175.22,182.335025380711,17.52,18.2335025380711,25-Mar-18,,244,,,,,,,,,,,,,,,
CAL,29-Mar-18,,7729,,7729,5250,13,,0.17%,147.22%,100.00%,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,5250,7729,3435,41220,1,,,,,61.75,44.5,,85.02,117.977528089888,125.17,173.685393258427,667.53,926.292134831461,25-Mar-18,,243,,,,,,,,,,,,,,,
CAL,28-Mar-18,,3610,,3610,2240,25,,0.69%,161.16%,100.00%,2905,2460,,,,15,0.61%,84.68%,2905,2460,376,0.61%,84.68%,,,,,,,,,,,,,,,,2905,2460,0,15,0.61%,84.68%,5145,6070,2146,23956,4,,,,,59,44.25,,87.20,116.271186440678,102.88,137.175141242938,406.03,541.378531073446,25-Mar-18,,242,,,,,,,,,,,,,,,
CAL,27-Mar-18,,6422,,6422,4130,29,,0.45%,155.50%,47.00%,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,4130,6422,2810,33704,2,,,,,60,42.75,,68.83,96.6081871345029,107.03,150.222222222222,561.73,788.397660818713,25-Mar-18,,241,,,,,,,,,,,,,,,
CAL,26-Mar-18,,2307,,2307,1680,10,,0.43%,137.32%,100.00%,,,,,,,#DIV/0!,#DIV/0!,770,724,193,0.41%,94.03%,,,,,,,,,,,,,,,,770,724,0,3,0.41%,94.03%,2450,3031,1393,15936,3,,,,,56,42,,43.75,58.3333333333333,54.13,72.1666666666667,284.57,379.428571428571,25-Mar-18,,240,,,,,,,,,,,,,,,
CAL,20-Jun-18,,486,,486,350,5,,1.03%,138.86%,,,,,,,,#DIV/0!,#DIV/0!,5040,5326,1453,0.30%,105.67%,,,,,,,,,,,,,,,,5040,5326,0,16,0.30%,105.67%,5390,5812,1525,18216,6,,,,,58,45.5,,92.93,118.461538461538,100.21,127.736263736264,314.07,400.351648351648,17-Jun-18,,70,,,,,,,,,,,,,,,
CAL,19-Jun-18,,2998,,2998,2031,27,,0.90%,147.61%,59.00%,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,2031,2998,1807,20234,7,,,,,54.25,43.5,,37.44,46.6896551724138,55.26,68.9195402298851,372.98,465.149425287356,17-Jun-18,,69,,,,,,,,,,,,,,,
